relpath,orig_split,label,filename,group_id,fold,role,path
train/demodicosis/2024-05-13-132116_2_jpg.rf.049985389a208c49f971b70cc405fe01.jpg,train,demodicosis,2024-05-13-132116_2_jpg.rf.049985389a208c49f971b70cc405fe01.jpg,g00003,3,test,new_data/train/demodicosis/2024-05-13-132116_2_jpg.rf.049985389a208c49f971b70cc405fe01.jpg
train/demodicosis/2024-05-13-132647_1_jpg.rf.4ad78b32ee59d0e768d5412feaa74ac5.jpg,train,demodicosis,2024-05-13-132647_1_jpg.rf.4ad78b32ee59d0e768d5412feaa74ac5.jpg,g00010,3,test,new_data/train/demodicosis/2024-05-13-132647_1_jpg.rf.4ad78b32ee59d0e768d5412feaa74ac5.jpg
train/demodicosis/2024-05-13-132647_1_jpg.rf.bdc15f949203829344c6b376f5de74a6.jpg,train,demodicosis,2024-05-13-132647_1_jpg.rf.bdc15f949203829344c6b376f5de74a6.jpg,g00010,3,test,new_data/train/demodicosis/2024-05-13-132647_1_jpg.rf.bdc15f949203829344c6b376f5de74a6.jpg
train/demodicosis/2024-05-13-132647_1_jpg.rf.e74983647ebfad8c0e4a3fbe99767e1c.jpg,train,demodicosis,2024-05-13-132647_1_jpg.rf.e74983647ebfad8c0e4a3fbe99767e1c.jpg,g00010,3,test,new_data/train/demodicosis/2024-05-13-132647_1_jpg.rf.e74983647ebfad8c0e4a3fbe99767e1c.jpg
train/demodicosis/2024-05-13-133056_1_jpg.rf.1ef2a98d74056a354db9a5b520685e34.jpg,train,demodicosis,2024-05-13-133056_1_jpg.rf.1ef2a98d74056a354db9a5b520685e34.jpg,g00017,3,test,new_data/train/demodicosis/2024-05-13-133056_1_jpg.rf.1ef2a98d74056a354db9a5b520685e34.jpg
train/demodicosis/2024-05-13-133056_1_jpg.rf.82a013ec66b75ea19f5ebb1948f0ecb5.jpg,train,demodicosis,2024-05-13-133056_1_jpg.rf.82a013ec66b75ea19f5ebb1948f0ecb5.jpg,g00017,3,test,new_data/train/demodicosis/2024-05-13-133056_1_jpg.rf.82a013ec66b75ea19f5ebb1948f0ecb5.jpg
train/demodicosis/2024-05-13-133056_1_jpg.rf.adf370029c6e0985f982049c55418b48.jpg,train,demodicosis,2024-05-13-133056_1_jpg.rf.adf370029c6e0985f982049c55418b48.jpg,g00017,3,test,new_data/train/demodicosis/2024-05-13-133056_1_jpg.rf.adf370029c6e0985f982049c55418b48.jpg
train/demodicosis/2024-05-13-133056_1_jpg.rf.c1e40aeb49f08c0b4809d5a9e08b87c6.jpg,train,demodicosis,2024-05-13-133056_1_jpg.rf.c1e40aeb49f08c0b4809d5a9e08b87c6.jpg,g00017,3,test,new_data/train/demodicosis/2024-05-13-133056_1_jpg.rf.c1e40aeb49f08c0b4809d5a9e08b87c6.jpg
train/demodicosis/2024-05-13-133056_1_jpg.rf.fe45eb78684dad9efae5089f63f45a57.jpg,train,demodicosis,2024-05-13-133056_1_jpg.rf.fe45eb78684dad9efae5089f63f45a57.jpg,g00017,3,test,new_data/train/demodicosis/2024-05-13-133056_1_jpg.rf.fe45eb78684dad9efae5089f63f45a57.jpg
train/demodicosis/2024-05-13-133056_3_jpg.rf.c56ac16bd41608ee855a256dc7e7afce.jpg,train,demodicosis,2024-05-13-133056_3_jpg.rf.c56ac16bd41608ee855a256dc7e7afce.jpg,g00017,3,test,new_data/train/demodicosis/2024-05-13-133056_3_jpg.rf.c56ac16bd41608ee855a256dc7e7afce.jpg
train/demodicosis/2024-05-13-133056_4_jpg.rf.0aa6cf106ec14dd6491159617c4f30b8.jpg,train,demodicosis,2024-05-13-133056_4_jpg.rf.0aa6cf106ec14dd6491159617c4f30b8.jpg,g00017,3,test,new_data/train/demodicosis/2024-05-13-133056_4_jpg.rf.0aa6cf106ec14dd6491159617c4f30b8.jpg
train/demodicosis/2024-05-13-133056_4_jpg.rf.7cd0bb70ddf4d4093f8cf05133ecf7ce.jpg,train,demodicosis,2024-05-13-133056_4_jpg.rf.7cd0bb70ddf4d4093f8cf05133ecf7ce.jpg,g00017,3,test,new_data/train/demodicosis/2024-05-13-133056_4_jpg.rf.7cd0bb70ddf4d4093f8cf05133ecf7ce.jpg
train/demodicosis/2024-05-13-133056_4_jpg.rf.980b250bd3eb86de02165d2d2bdacd12.jpg,train,demodicosis,2024-05-13-133056_4_jpg.rf.980b250bd3eb86de02165d2d2bdacd12.jpg,g00017,3,test,new_data/train/demodicosis/2024-05-13-133056_4_jpg.rf.980b250bd3eb86de02165d2d2bdacd12.jpg
