relpath,orig_split,label,filename,group_id,fold,role
train/allergic_dermatitis/1000010502_x16_jpg.rf.071d194687f358f64effcb1bce9f54c2.jpg,train,allergic_dermatitis,1000010502_x16_jpg.rf.071d194687f358f64effcb1bce9f54c2.jpg,g00001,0,train
train/allergic_dermatitis/1000010502_x16_jpg.rf.d0bbfd5b456a693a465aa0410c84f487.jpg,train,allergic_dermatitis,1000010502_x16_jpg.rf.d0bbfd5b456a693a465aa0410c84f487.jpg,g00001,0,train
train/allergic_dermatitis/1000010509_x4_jpg.rf.fc460a87de4d38d031a036400b9740d7.jpg,train,allergic_dermatitis,1000010509_x4_jpg.rf.fc460a87de4d38d031a036400b9740d7.jpg,g00002,0,train
train/allergic_dermatitis/1000010511_x16_jpg.rf.aa51ccefb16a8d8fa3d97270b79a252d.jpg,train,allergic_dermatitis,1000010511_x16_jpg.rf.aa51ccefb16a8d8fa3d97270b79a252d.jpg,g00003,0,train
train/allergic_dermatitis/1000010512_x4_jpg.rf.3004a3bae48f44e885472c8501b139fc.jpg,train,allergic_dermatitis,1000010512_x4_jpg.rf.3004a3bae48f44e885472c8501b139fc.jpg,g00004,0,train
train/allergic_dermatitis/1000010516_x16_jpg.rf.3d6d05adc4e4c8d4d0e369b2ed820ea3.jpg,train,allergic_dermatitis,1000010516_x16_jpg.rf.3d6d05adc4e4c8d4d0e369b2ed820ea3.jpg,g00005,0,train
train/allergic_dermatitis/1000010516_x16_jpg.rf.e46486e3d9b6b9c0334fda1f5a68b63d.jpg,train,allergic_dermatitis,1000010516_x16_jpg.rf.e46486e3d9b6b9c0334fda1f5a68b63d.jpg,g00005,0,train
train/allergic_dermatitis/1000010523_x4_jpg.rf.bcc1f577fbc75539d8a906b847422bb5.jpg,train,allergic_dermatitis,1000010523_x4_jpg.rf.bcc1f577fbc75539d8a906b847422bb5.jpg,g00007,0,train
train/allergic_dermatitis/1000010523_x4_jpg.rf.da9737a813b07bb583859c5b3a76bd65.jpg,train,allergic_dermatitis,1000010523_x4_jpg.rf.da9737a813b07bb583859c5b3a76bd65.jpg,g00007,0,train
train/allergic_dermatitis/1000010525_x16_jpg.rf.662bef6d5caeac0f8e3a05c6c4d17647.jpg,train,allergic_dermatitis,1000010525_x16_jpg.rf.662bef6d5caeac0f8e3a05c6c4d17647.jpg,g00008,0,train
train/allergic_dermatitis/1000010525_x16_jpg.rf.9ad7fcc0dcf6f4bfafdbbbd896e0a2c7.jpg,train,allergic_dermatitis,1000010525_x16_jpg.rf.9ad7fcc0dcf6f4bfafdbbbd896e0a2c7.jpg,g00008,0,train
train/allergic_dermatitis/1000010532_x16_jpg.rf.53cebfb03b7ba234ebd93fd512e0faba.jpg,train,allergic_dermatitis,1000010532_x16_jpg.rf.53cebfb03b7ba234ebd93fd512e0faba.jpg,g00009,0,train
train/allergic_dermatitis/1000010535_x16_jpg.rf.3cee2630d069f4d6079f4cb23e5de3bf.jpg,train,allergic_dermatitis,1000010535_x16_jpg.rf.3cee2630d069f4d6079f4cb23e5de3bf.jpg,g00010,0,train
train/allergic_dermatitis/1000010535_x16_jpg.rf.484a5f4e29b8ccb1adeb99d9c307fedb.jpg,train,allergic_dermatitis,1000010535_x16_jpg.rf.484a5f4e29b8ccb1adeb99d9c307fedb.jpg,g00010,0,train
train/allergic_dermatitis/1000010543_x16_jpg.rf.8402028a9b7b12d79362a7e69c10c683.jpg,train,allergic_dermatitis,1000010543_x16_jpg.rf.8402028a9b7b12d79362a7e69c10c683.jpg,g00011,0,train
train/allergic_dermatitis/1000010569_x4_jpg.rf.8d79d9b92f8bf09fed9c92766e218e0e.jpg,train,allergic_dermatitis,1000010569_x4_jpg.rf.8d79d9b92f8bf09fed9c92766e218e0e.jpg,g00014,0,train
train/allergic_dermatitis/1000010569_x4_jpg.rf.ce0f75357fab5a349812d9511f082b3c.jpg,train,allergic_dermatitis,1000010569_x4_jpg.rf.ce0f75357fab5a349812d9511f082b3c.jpg,g00014,0,train
train/allergic_dermatitis/1000010573_x4_jpg.rf.96ec2b3ba651474233cb57d921a705fe.jpg,train,allergic_dermatitis,1000010573_x4_jpg.rf.96ec2b3ba651474233cb57d921a705fe.jpg,g00015,0,train
train/allergic_dermatitis/1000010575_x16_jpg.rf.9a7fe15b8f1e9bb16d821e5aec538e28.jpg,train,allergic_dermatitis,1000010575_x16_jpg.rf.9a7fe15b8f1e9bb16d821e5aec538e28.jpg,g00016,0,train
train/allergic_dermatitis/1000010575_x16_jpg.rf.9e875711170a4e13268141bdbbd96b9f.jpg,train,allergic_dermatitis,1000010575_x16_jpg.rf.9e875711170a4e13268141bdbbd96b9f.jpg,g00016,0,train
train/allergic_dermatitis/1000010579_x4_jpg.rf.8080892f088f6806a7764981432ac486.jpg,train,allergic_dermatitis,1000010579_x4_jpg.rf.8080892f088f6806a7764981432ac486.jpg,g00017,0,train
train/allergic_dermatitis/1000010580_x4_jpg.rf.4dd059c8e086c20e513c4f6ecc9ccfa3.jpg,train,allergic_dermatitis,1000010580_x4_jpg.rf.4dd059c8e086c20e513c4f6ecc9ccfa3.jpg,g00018,0,train
train/allergic_dermatitis/1000010580_x4_jpg.rf.5c62fe5185790fd457568380ccca6cdc.jpg,train,allergic_dermatitis,1000010580_x4_jpg.rf.5c62fe5185790fd457568380ccca6cdc.jpg,g00018,0,train
train/allergic_dermatitis/1000010586_x4_jpg.rf.31b092c1f8b325b12e11486353241de7.jpg,train,allergic_dermatitis,1000010586_x4_jpg.rf.31b092c1f8b325b12e11486353241de7.jpg,g00019,0,train
train/allergic_dermatitis/1000010590_x4_jpg.rf.9843399fb71504a23eba237b6b4336d1.jpg,train,allergic_dermatitis,1000010590_x4_jpg.rf.9843399fb71504a23eba237b6b4336d1.jpg,g00020,0,train
train/allergic_dermatitis/1000010590_x4_jpg.rf.dda1571b8f11986f41afdd1c31073d5b.jpg,train,allergic_dermatitis,1000010590_x4_jpg.rf.dda1571b8f11986f41afdd1c31073d5b.jpg,g00020,0,train
train/allergic_dermatitis/1000010593_x4_jpg.rf.514b917061518ce63b8a60344de888bd.jpg,train,allergic_dermatitis,1000010593_x4_jpg.rf.514b917061518ce63b8a60344de888bd.jpg,g00022,0,train
train/allergic_dermatitis/1000010597_x4_jpg.rf.95bc0f66f299b8cc287444668275b29b.jpg,train,allergic_dermatitis,1000010597_x4_jpg.rf.95bc0f66f299b8cc287444668275b29b.jpg,g00024,0,train
train/allergic_dermatitis/1000010597_x4_jpg.rf.c43d63eefafc1db5ffa08202508a7089.jpg,train,allergic_dermatitis,1000010597_x4_jpg.rf.c43d63eefafc1db5ffa08202508a7089.jpg,g00024,0,train
train/allergic_dermatitis/1000010600_x4_jpg.rf.361df7e0a91317870bc5f1dff6e6d4cd.jpg,train,allergic_dermatitis,1000010600_x4_jpg.rf.361df7e0a91317870bc5f1dff6e6d4cd.jpg,g00025,0,train
train/allergic_dermatitis/1000010610_x4_jpg.rf.951907bcf26fa94b6f7d5b8e665d995c.jpg,train,allergic_dermatitis,1000010610_x4_jpg.rf.951907bcf26fa94b6f7d5b8e665d995c.jpg,g00028,0,train
train/allergic_dermatitis/1000010614_x4_jpg.rf.50d805bcf55721e33d6f90a500d65566.jpg,train,allergic_dermatitis,1000010614_x4_jpg.rf.50d805bcf55721e33d6f90a500d65566.jpg,g00029,0,train
train/allergic_dermatitis/1000010614_x4_jpg.rf.779443a1243db25a6a0dcc31775cdee6.jpg,train,allergic_dermatitis,1000010614_x4_jpg.rf.779443a1243db25a6a0dcc31775cdee6.jpg,g00029,0,train
train/allergic_dermatitis/1000010628_x4_jpg.rf.32c6d2d5e8276f1ed372061bf0e560e3.jpg,train,allergic_dermatitis,1000010628_x4_jpg.rf.32c6d2d5e8276f1ed372061bf0e560e3.jpg,g00032,0,train
train/allergic_dermatitis/1000010628_x4_jpg.rf.ca7ba650abc1ebb04999eba1364c17a2.jpg,train,allergic_dermatitis,1000010628_x4_jpg.rf.ca7ba650abc1ebb04999eba1364c17a2.jpg,g00032,0,train
train/allergic_dermatitis/1000010639_x16_jpg.rf.6867878bb126f7621bf4a9faf3c8af88.jpg,train,allergic_dermatitis,1000010639_x16_jpg.rf.6867878bb126f7621bf4a9faf3c8af88.jpg,g00034,0,train
train/allergic_dermatitis/1000010639_x16_jpg.rf.911fa718109a41115aa7cce6de81829f.jpg,train,allergic_dermatitis,1000010639_x16_jpg.rf.911fa718109a41115aa7cce6de81829f.jpg,g00034,0,train
train/allergic_dermatitis/1000010646_x16_jpg.rf.05b1e5056d2b66dcafffa5bc34d31bd7.jpg,train,allergic_dermatitis,1000010646_x16_jpg.rf.05b1e5056d2b66dcafffa5bc34d31bd7.jpg,g00035,0,train
train/allergic_dermatitis/1000010646_x16_jpg.rf.a0e4e390d3da2f68bcac970cdab3865c.jpg,train,allergic_dermatitis,1000010646_x16_jpg.rf.a0e4e390d3da2f68bcac970cdab3865c.jpg,g00035,0,train
train/allergic_dermatitis/1000010647_x16_jpg.rf.61962237104ec83e9daee104c64085e3.jpg,train,allergic_dermatitis,1000010647_x16_jpg.rf.61962237104ec83e9daee104c64085e3.jpg,g00036,0,train
train/allergic_dermatitis/1000010656_x16_jpg.rf.54201dfb96b172d63c7b8f1ccd2a8b67.jpg,train,allergic_dermatitis,1000010656_x16_jpg.rf.54201dfb96b172d63c7b8f1ccd2a8b67.jpg,g00038,0,train
train/allergic_dermatitis/1000010656_x16_jpg.rf.8dbd6c2cd7d372271389d1ef4668dbc5.jpg,train,allergic_dermatitis,1000010656_x16_jpg.rf.8dbd6c2cd7d372271389d1ef4668dbc5.jpg,g00038,0,train
train/allergic_dermatitis/1000010680_x16_jpg.rf.37eb92ea6debda6bcc4ca6f724c014ab.jpg,train,allergic_dermatitis,1000010680_x16_jpg.rf.37eb92ea6debda6bcc4ca6f724c014ab.jpg,g00039,0,train
train/allergic_dermatitis/1000010683_x4_jpg.rf.34e0fa74183d8dea884189d793d27c23.jpg,train,allergic_dermatitis,1000010683_x4_jpg.rf.34e0fa74183d8dea884189d793d27c23.jpg,g00040,0,train
train/allergic_dermatitis/1000010684_x16_jpg.rf.78744918905fad5c1cd001af474c1b73.jpg,train,allergic_dermatitis,1000010684_x16_jpg.rf.78744918905fad5c1cd001af474c1b73.jpg,g00041,0,train
train/allergic_dermatitis/1000010684_x16_jpg.rf.c556f3adf3441489531b8774b65009c7.jpg,train,allergic_dermatitis,1000010684_x16_jpg.rf.c556f3adf3441489531b8774b65009c7.jpg,g00041,0,train
train/allergic_dermatitis/1000010698_x4_jpg.rf.a894b51f2846c65351ae18085ba4e1e0.jpg,train,allergic_dermatitis,1000010698_x4_jpg.rf.a894b51f2846c65351ae18085ba4e1e0.jpg,g00043,0,train
train/allergic_dermatitis/1000010698_x4_jpg.rf.d8e2b2edf4c54ba555f08c8cb28a978c.jpg,train,allergic_dermatitis,1000010698_x4_jpg.rf.d8e2b2edf4c54ba555f08c8cb28a978c.jpg,g00043,0,train
train/allergic_dermatitis/1000010701_x16_jpg.rf.05e94cd103bdca951e863cc30d577a2b.jpg,train,allergic_dermatitis,1000010701_x16_jpg.rf.05e94cd103bdca951e863cc30d577a2b.jpg,g00045,0,train
train/allergic_dermatitis/1000010701_x16_jpg.rf.142e7c42ac5a9233798517d8cc6da1db.jpg,train,allergic_dermatitis,1000010701_x16_jpg.rf.142e7c42ac5a9233798517d8cc6da1db.jpg,g00045,0,train
train/allergic_dermatitis/1000010715_x16_jpg.rf.21c555a875f70ed1d921e8332b9f8972.jpg,train,allergic_dermatitis,1000010715_x16_jpg.rf.21c555a875f70ed1d921e8332b9f8972.jpg,g00047,0,train
train/allergic_dermatitis/1000010725_x16_jpg.rf.dfd3cdd394e26d64994aa5aba961ae9b.jpg,train,allergic_dermatitis,1000010725_x16_jpg.rf.dfd3cdd394e26d64994aa5aba961ae9b.jpg,g00048,0,train
train/allergic_dermatitis/1000010744_x16_jpg.rf.2f1dd853ee4f98e45a1e32969a57265f.jpg,train,allergic_dermatitis,1000010744_x16_jpg.rf.2f1dd853ee4f98e45a1e32969a57265f.jpg,g00052,0,train
train/allergic_dermatitis/1000010744_x16_jpg.rf.764df0439e6d719e303d6c365c9f683f.jpg,train,allergic_dermatitis,1000010744_x16_jpg.rf.764df0439e6d719e303d6c365c9f683f.jpg,g00052,0,train
train/allergic_dermatitis/1000010747_x4_jpg.rf.6b91d8fc1096998915a10d206b380014.jpg,train,allergic_dermatitis,1000010747_x4_jpg.rf.6b91d8fc1096998915a10d206b380014.jpg,g00053,0,train
